ITEM_20150317_000001	Empty_Helmet	없음_helmet
ITEM_20150317_000002	Murmillo Helmet	무르밀로 헬멧
ITEM_20150317_000003	Empty_Armband	없음_armband
ITEM_20150317_000004	Red Armband	붉은 암밴드
ITEM_20150317_000005	Armband	암밴드
ITEM_20150317_000006	Knotted Armband	매듭진 암밴드
ITEM_20150317_000007	Long Armband	긴 암밴드
ITEM_20150317_000008	Feather Armband	깃털 장식 암밴드
ITEM_20150317_000009	Tasseled Armband	술달린 암밴드
ITEM_20150317_000010	Empty_Weapon	없음_weapon
ITEM_20150317_000011	Crude Gladius	조악한 글라디우스
ITEM_20150317_000012	One-Handed Sword [Slash]	한손검[베기]
ITEM_20150317_000013	Senjata yang biasa digunakan oleh prajurit kerajaan.	글라디우스는 왕국 병사의 기본 무장 중 하나로 민간에서도 널리 사용됩니다.
ITEM_20150317_000014	Gladius	글라디우스
ITEM_20150317_000015	Senjata ini telah ditingkatkan untuk keperluan militer.	군용에 비해 성능 향상의 여지를 두고 제조됩니다.
ITEM_20150317_000016	Low Falchion	로우 폴쳔
ITEM_20150317_000017	Pedang ini bagus untuk membelah dan memotong.	베기 성능이 우수한 검입니다. 
ITEM_20150317_000018	Low Kaskara	로우 카스카라
ITEM_20150317_000019	Karena mudah dibuat, Senjata ini sering dipilih oleh prajurit untuk berlatih.	제조가 쉬워서 모험가들이 처음 검을 바꿀 때 많이 선택합니다.
ITEM_20150317_000020	Cinquedea	친퀘데아
ITEM_20150317_000021	Sangat direkomendasikan untuk yang menginginkan pedang yang keras dan kaut.	더 무겁고 더 강한 검을 원한다면 권장합니다.
ITEM_20150317_000022	Sabre	사브르
ITEM_20150317_000023	Senjata utama yang dikhususkan untuk membelah. Hilt nya dapat melindungi tanganmu.	기병들의 기본 무장이며, 베기에 적합한 구조를 지녔습니다. 검병이 있어 손을 보호하는 효과도 있습니다.
ITEM_20150317_000024	Shamshir	샴시르
ITEM_20150317_000025	Ujungnya yang melengkung memungkinkan untuk menghasilkan tebasan kuat.	크게 구부러진 초승달 검날이 베기에 위력적입니다.
ITEM_20150317_000026	Scimitar	시미터
ITEM_20150317_000027	Beratnya sesuai dengan tebasannya yang kuat.	무게는 약간 부담스럽지만, 베기에는 그만큼 위력적입니다.
ITEM_20150317_000028	Kris	크리스
ITEM_20150317_000029	Praktis dan mudah digunakan. Namun tetap dapat menghasilkan damage yang kuat.	구불구불한 날이 피해를 크게 입힙니다. 장식과 실용성을 동시에 추구하는 검입니다.
ITEM_20150317_000030	Snickersnee	스니커스니
ITEM_20150317_000031	Kekutannya dalam memotong disukai oleh para ahli pedang.	절단력이 무척 우수하여 경험많은 검사들도 애용합니다.
ITEM_20150317_000032	Crude Shamshir	조악한 샴시르
ITEM_20150317_000033	Crude Scimitar	조악한 시미터
ITEM_20150317_000034	Soldier's Gladius	병사의 글라디우스
ITEM_20150317_000035	Senjata dasar untuk prajurit. Kualitasnya lebih baik daripada yang ada di pasaran.	정규병에게 지급됩니다. 민간제조 글라디우스에 비해 대체로 성능이 좋습니다. 
ITEM_20150317_000036	Mayor's Falchion	촌장의 폴쳔
ITEM_20150317_000037	Bentuk senjatanya membuat curiga terhadap pemilik sebelumnya.	이전 주인의 과거가 의심스러워지는 물건입니다.
ITEM_20150317_000038	Crude Kaskara	조악한 카스카라
ITEM_20150317_000039	Moplah	모플라
ITEM_20150317_000040	Pedang ini menggabungkan nilai keindahan dan kegunaan.	실용성과 미적 감각을 모두 갖춘 검입니다.
ITEM_20150317_000041	Heavy Gladius	헤비 글라디우스
ITEM_20150317_000042	Falchion	폴쳔
ITEM_20150317_000043	Heavy Falchion	헤비 폴쳔
ITEM_20150317_000044	Kaskara	카스카라
ITEM_20150317_000045	Heavy Cinquedea	헤비 친퀘데아
ITEM_20150317_000046	Heavy Sabre	헤비 사브르
ITEM_20150317_000047	Heavy Shamshir	헤비 샴시르
ITEM_20150317_000048	Dunkel Sabre	던켈 사브르
ITEM_20150317_000049	Dunkel Snickersnee	던켈 스니커스니
ITEM_20150317_000050	Dunkel Falchion	던켈 폴쳔
ITEM_20150317_000051	Dunkel Kaskara	던켈 카스카라
ITEM_20150317_000052	Dunkel Cinquedea	던켈 친퀘데아
ITEM_20150317_000053	Dunkel Shamshir	던켈 샴시르
ITEM_20150317_000054	Kozuka	코주카
ITEM_20150317_000055	Tidak memiliki pegangan khusus	툴팁이 없습니다.
ITEM_20150317_000056	Badelaire	바들레르
ITEM_20150317_000057	Saif	사이프
ITEM_20150317_000058	Colichemarde	콜리슈마르드
ITEM_20150317_000059	Firangi	피란기
ITEM_20150317_000060	Thorn Cutter	쏜 커터
ITEM_20150317_000061	Demion Sword	데미온소드
