INTL_20160511_000001	Extra Entrance Infinity Dungeon, Mission 1 kali	인던,미션 1회 추가입장
INTL_20160511_000002	Perfect Translator	완벽한 번역가
INTL_20160511_000003	Title yang diberikan untuk user yang membantu penerjemahan dengan sempurna.	완변한 번역을 지원해준 유저를 위해 주어지는 칭호입니다.
INTL_20160511_000004	Magic Amplifier	마력증폭
INTL_20160511_000005	Kondisi Magic power teramplifikasikan dengan Crit Hit dan fair.	치명타와 공명하여 마력이 증폭된 상태입니다.
INTL_20160511_000006	Kondisi Defense dikurangi.	방어력이 감소된 상태입니다.
INTL_20160511_000007	- Memungkinkan training Spesific Skill 2 buah pada saat bersamaan{nl} - Mengurangi Market Sales Commision(30%{img white_right_arrow 16 16}10%){nl} - jumlah Market Sales Registration Item{nl} - Character Movement Speed +3{nl} - Extra Entrance Mission,Infin	- 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3{nl} - 미션,던전 1회 추가입장{nl} - 최대 버프 적용 개수 증가{nl} - 프리미엄 제스쳐 사용 가능{nl}
INTL_20160511_000008	Token : 60 hari	토큰:60일
INTL_20160511_000009	Ketika klik kanan mouse, dan terpakai, maka berlaku benefit selama 60 hari sejak saat pemakaian pada seluruh karakter di dalam server.{nl}[Token Effect]{nl} - memungkinkan Spesific Instant Training{nl} - mengurangi Market Sales Commision (30%{img white_right_arrow 16 16}10%){nl} - Market Sales Registration Item amount 9 pcs{nl} - Character movement speed meningkat +3{nl} - Ketika membunuh monster, EXP meningkat +20%{nl}(PC Cafe benefit, memungkin EXP effect stack){nl} - Dapat menggunakan premium Gesture{nl} - jumlah pemakaian Max buff aplication  meningkat{nl} - memungkinkan Personal Trade 30 kali{nl} - frekuensi Personal Trade 60 kali{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능
INTL_20160511_000010	Ketika klik kanan mouse dan terpakai, bisa mendapatkan item.{nl} - 650 TP{nl} - Token(60 hari){nl} - Hair Accessories - Popolion Doll{nl} - Hair Accessories - Hanaming Doll{nl} - Hoglan Companion Exchange Coupon{nl} - Stat Reset Potion{nl} - Skill Reset Potion{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 650 TP{nl} - 토큰(60일){nl} - 헤어 악세서리 - 포포리온 인형{nl} - 헤어 악세서리 - 하나밍 인형{nl} - 호글란 컴패니언 교환권{nl} - 스탯초기화 포션{nl} - 스킬 초기화 포션{nl}
INTL_20160511_000011	Mendapatkan 650 TP ketika pemakaian.	사용 시 650 TP를 획득합니다.
