INTL_20160511_000001	+1 extra instance entry for missions and dungeons
INTL_20160511_000002	Perfect Translator
INTL_20160511_000003	Title yang diberikan untuk user yang membantu penerjemahan dengan sempurna.
INTL_20160511_000004	Magic Amplifier
INTL_20160511_000005	Kondisi Magic power teramplifikasikan dengan Crit Hit dan fair.
INTL_20160511_000006	Kondisi Defense dikurangi.
INTL_20160511_000007	- Able to learn up to 2 attributes simultaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - +3 increased character movement speed{nl} - Can only trade up to 30 times{nl
INTL_20160511_000008	Token: 30 Days
INTL_20160511_000009	Ketika klik kanan mouse, dan terpakai, maka berlaku benefit selama 60 hari sejak saat pemakaian pada seluruh karakter di dalam server.{nl}[Token Effect]{nl} - memungkinkan Spesific Instant Training{nl} - mengurangi Market Sales Commision (30%{img white_right_arrow 16 16}10%){nl} - Market Sales Registration Item amount 9 pcs{nl} - Character movement speed meningkat +3{nl} - Ketika membunuh monster, EXP meningkat +20%{nl}(PC Cafe benefit, memungkin EXP effect stack){nl} - Dapat menggunakan premium Gesture{nl} - jumlah pemakaian Max buff aplication  meningkat{nl} - memungkinkan Personal Trade 30 kali{nl} - frekuensi Personal Trade 60 kali{nl}
INTL_20160511_000010	Right-click to obtain the following items:{nl} - 650 TP{nl} - Token (60 Days){nl} - Hair Accessories - Popolion Doll{nl} - Hair Accessories - Hanaming Doll{nl} - Hoglan Companion Exchange Coupon{nl} - Stat Reset Potion{nl} - Skill Reset Potion{nl}
INTL_20160511_000011	Use to obtain 650 TP.
INTL_20160511_000012	Use to obtain 380 TP.
INTL_20160511_000013	Use to obtain 160 TP.
INTL_20160511_000014	Right-click to obtain the following items:{nl} - 380 TP{nl} - Token (30 Days){nl} - Hair Accessories - Popolion Doll{nl}
INTL_20160511_000015	Right-click to obtain the following items:{nl} - 160 TP{nl}
INTL_20160511_000016	Mendapatkan 50TP ketika pemakaian. Ketika mendapatkannya pada Inventory Character setelah menggunakannya, maka tidak dapat melakukan pembatalan.
INTL_20160511_000017	Ketika klik kanan mouse, dan terpakai, maka berlaku benefit selama 30 hari sejak saat pemakaian pada seluruh karakter di dalam server.{nl}[Token Effect]{nl} - memungkinkan Spesific Instant Training{nl} - mengurangi Market Sales Commision (30%{img white_right_arrow 16 16}10%){nl} - Market Sales Registration Item amount 9 pcs{nl} - Character movement speed meningkat +3{nl} - Ketika membunuh monster, EXP meningkat +30%{nl}(PC Cafe benefit, memungkin EXP effect stack){nl} - Dapat menggunakan premium Gesture{nl} - jumlah pemakaian Max buff aplication  meningkat{nl} - memungkinkan Personal Trade 30 kali{nl} - frekuensi Personal Trade 30 kali{nl} - Extra entrance Mission, Dungeon 1 kali
INTL_20160511_000018	Ketika klik kanan mouse, dan terpakai, maka berlaku benefit selama 60 hari sejak saat pemakaian pada seluruh karakter di dalam server.{nl}[Token Effect]{nl} - memungkinkan Skill Spesific Instant Training{nl} - mengurangi Market Sales Commision (30%{img white_right_arrow 16 16}10%){nl} - Market Sales Registration Item amount 9 pcs{nl} - Character movement speed meningkat +3{nl} - Ketika membunuh monster, EXP meningkat +30%{nl}(PC Cafe benefit, memungkin EXP effect stack){nl} - Dapat menggunakan premium Gesture{nl} - jumlah pemakaian Max buff aplication  meningkat{nl} - memungkinkan Personal Trade 30 kali{nl} - frekuensi Personal Trade 60 kali{nl} - Extra entrance Mission, Dungeon 1 kali
INTL_20160511_000019	10x Enchant Scroll Box
INTL_20160511_000020	Contains 10 Enchant Scrolls. Right-click to use.
INTL_20160511_000021	10x Megaphone Box
INTL_20160511_000022	Contains 10 Megaphones. Right-click to use.
INTL_20160511_000023	Use to obtain 455 TP.
INTL_20160511_000024	Use to obtain 266 TP.
INTL_20160511_000025	Use to obtain 112 TP.
INTL_20160511_000026	Hoglan Exchange Coupon 
INTL_20160511_000027	Dapat menukarkan dengan Hoglan di Companion Shop
INTL_20160511_000028	Attack meningkat #{CaptionRatio}#% {nl}SpesificExtra Damage #{CaptionRatio2}#{nl}Durasi 10 detik
INTL_20160511_000029	Token: 30 Days
INTL_20160517_000030	TOS Seriously Leveling Package
INTL_20160517_000031	Paket Kejutan menyambut OBT TOS INA, berisi spesial item yang luar biasa. Hanya dijual sebelum OBT berlangsung.
INTL_20160517_000032	Use to obtain 600 TP.
INTL_20160517_000033	Use to obtain 1300 TP.
INTL_20160517_000034	TOS Surprise Package
INTL_20160517_000035	Paket Kejutan menyambut OBT TOS INA, berisi spesial item yang luar biasa. Hanya dijual sebelum OBT berlangsung.
INTL_20160616_000036	{@st41}Tombol Isi Cash
INTL_20160616_000037	{@st45tw2}Beli TP{/}
INTL_20160616_000038	{@st66}Gunakan Gcash untuk membeli TP{nl}TP tidak bisa ditukar Gcash kembali.{/}
INTL_20160616_000039	{@st45tw2}Sisa Cash : %s{/}
INTL_20160616_000040	Right-click to obtain the following items:{nl} - Token (7 Days){nl} - 3x EXP Tome{nl} - 100x Highly Condensed HP/SP Potion{nl} - 3x Urgent Repair Kit{nl} - 5x Soul Crystal{nl} - 10x Megaphone{nl} - 10x Warp Scroll{nl} - 1x Instanced Dungeon Reset Voucher
INTL_20160616_000041	Obtained 190 TP
INTL_20160616_000042	Right-click to obtain the following items:{nl} 190 TP {nl} Token (30 Days){nl} Enchant Scroll x4 {nl} Dungeon Reset Scroll x5 {nl}
INTL_20161010_000043	Contains a variety of items. Right-click to use.{nl} - Token: 3 Days{nl} - 50x Highly Condensed HP/SP Potion{nl} - 10x Soul Crystal{nl} - 10x Warp Scroll
INTL_20161010_000044	Contains a variety of items. Right-click to use.{nl} - Token: 15 Days{nl} - 20x Highly Condensed HP/SP Potion{nl} - 15x Soul Crystal{nl} - 15x Megaphone{nl} - 10x Warp Scroll{nl} - 1x Instanced Dungeon Reset Voucher
INTL_20161221_000045	Winter Package
INTL_20161221_000046	Right-click to obtain the following items:{nl} - 100x Highly Condensed HP Potion{nl} - 100x Highly Condensed SP Potion{nl} - 10x Jumbo Dumpling{nl} - 10x Settlement Support potion{nl} - 1x Skill Reset Potion{nl} - 1x Stat Reset Potion
INTL_20161221_000047	Market sales silver payment delay: 24 hours.
INTL_20161221_000048	Sales silver payment delay with Token: 1 hour.
